"Lenovo ThinkPad X1 Yoga Gen 3 14"" QHD TOUCH 2-in1 i7-8550U 256GB SSD 8GB win 11",US,$220.00,Used,Intel Core i7-7600U,14 in,Silver,8 GB,256 GB,Intel UHD Graphics 620,1.8 Ghz,Lenovo,ThinkPad Yoga,Laptop,2560 x 1440,Lenovo ThinkPad X1 Yoga,Windows 11 Pro,256 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/175786044295?hash=item28edaa2b87:g:sU4AAOSwUX5kWGGC&amdata=enc%3AAQAIAAAAsOnnSyNz0ZMnSU11jSVln5ue27xXspLV6MffP6O6KcRXv9NLT2yz5AfdyxVosxzk9%2B565tPvxuCdINPK4SrmNP6qI5uUnWWiEimBfI96Ez7lBRZk%2Fh%2Bgw5Gkftqe8jbjNuCpWyeiuYveGGyKGUB%2FUpAy3EHbureEBt0402soGSHdBss%2BiDgeZaEwksUxqlmOKsLetPa6hTlwLSHFBruCNgctmhaZmX2beU4DEnEW40gY%7Ctkp%3ABk9SR_r8vI-jYg
Ibm Thinkpad T41 Intel Pentium M 1.5GB RAM 1.60GHz - 14.1,C,$14.97,For parts or not working,Intel Pentium M,14.1 in,Black,1.5 GB,,,1.60 GHz,Ibm,ThinkPad,Notebook/Laptop,,Ibm Thinkpad T41,,,,,https://www.ebay.com/itm/325708373616?hash=item4bd5bb5e70:g:0YIAAOSw6-dj3q4b&amdata=enc%3AAQAIAAAA4LbMhUZxCikPqLSKgvvZsL5PVD2Te2oij8uQlYxPMBxKLOrS4hO0lJ2xv1X7Lsad1NbCj708oIKElsVxJN1xWl7u0FVVwFPr7QOaU4Cr5mEVhpCJZoO6%2Bn8rBp1E9lwjZ6MO9bL1jV9eDXWL1DY5L7HUDChiYfxVxwR4jrOcBUi5u4LwOoZL1R%2FddSRzby4u%2FoddXKECI3VzFdZT3O0hKq1c6qAnxc9Y6HAAldUgG5Q9tumAPsmkQx2%2FTB0dpqwjnWqFlkuinyeSa5SaK2K2rg5YrobKD%2B8qYCXl3AXnaXsW%7Ctkp%3ABk9SR_r8vI-jYg
Dell Latitude 3510 Core i5 10210U 1.6GHz 8GB RAM 500GB HDD 15.6'' No OS Laptop,US,$112.50,For parts or not working,Core i5 10210U,15.6,,8GB,,,1.6GHz,Dell,,Laptop,,3510,No OS,500GB,,,https://www.ebay.com/itm/134637395525?hash=item1f59039e45:g:a8EAAOSwUQVkjLkj&amdata=enc%3AAQAIAAAAwCOCoDsP2dBkxvJB8Adh5e4WpbmQrbIOIOphw2jxhNF5wOTX6y5P2JwJXN3z0oyEO%2BqWWLs%2BUgI3dGDj%2BJAp0AWGvmXLVigBgnYVC1YBywafAo9xjEqvC1CthE5FVEb5Dir8C3Sd6MGjGe%2Bdg206FogDdFgPrvwfWjaOBZPwWwAbPmzzUrewo5JaAusDR%2BsMcFcHxl4wvO1%2FeUSdtx5iHIMjrKvzpAZoqS%2FjpNpuvhT3DDuYGz%2FWSP4nBy%2FSU0TveA%3D%3D%7Ctkp%3ABk9SR_r8vI-jYg
CHUWI HEROBOOK PRO CELERON N4000 1.10GHz 8GB RAM 256GB SSD PC1305580,US,$72.25,Used,Chuwi,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,,,,,https://www.ebay.com/itm/144837822187?hash=item21b901c6eb:g:yaYAAOSw9b9jipi2&amdata=enc%3AAQAIAAAA0CBxhPrjbOtwmT%2B6WfU5j8ig%2B81WFiKqrsR17XKrbrIE3UUlF69qk5rjCoyNgp74Phxy3gFfVA5zw%2FmVXg9lMj5ei6oFGq47H5H8In7Bd16KZLhRIdC0bgkAltTeb%2FOZOn7%2Fy3de04bVMYx9AvCbpQC7kARih%2Ff0bOCRfYbxSAW2Mj%2B23o967d0e3CDJ43kWkSo94JCZfMVe0hsmDa%2B992apLMRY8Sy7roy%2BQi%2BmbsC7G3uS0OXej9M%2BqJEcfbNwuuK6GLFdhztPMEoq2RjoS0E%3D%7Ctkp%3ABk9SR_z8vI-jYg
"Eluktronics N870HK 17.3"" i7-7700HQ 8GB RAM 128GB SSD GTX 1050 Ti PC1082571",US,$319.00,Used,Eluktronics,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,,,,,https://www.ebay.com/itm/155288285411?hash=item2427e730e3:g:ZNYAAOSwdodjipir&amdata=enc%3AAQAIAAAAsAZeAF0FWYtn3%2FLx1WgtttrHrbHUVTQjE7lcZdBVHltFcd4947njb6QhLriXLkT8lhCMknSu%2BkfymYaiKh%2BIqXmFq%2F4i3%2Bpq3GKQ9jm1N4MgYXtm7OH7xC1SKkm50GjuajkvC93%2FDQEnGesamrn875KI6iXrdg1VxWKTKIOKMTMUN4FmGmbyByrOK8z1qa2fv%2FqkPp1iuq3R2PLJwfNgCkFwtMdHWROKDwOGj%2FZn9sWR%7Ctkp%3ABk9SR_z8vI-jYg
DELL OPTIPLEX 790 INTEL CORE i5-2400 3.10GHz 16GB RAM 500GB HD PC657132,US,$34.00,Used,Dell,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,,,,,https://www.ebay.com/itm/155288285343?epid=5052730969&hash=item2427e7309f:g:OAEAAOSwseVjipil&amdata=enc%3AAQAIAAAA0Naikdq%2B1NCnjvn5uCEEjUQ55RTHUTCVPwzA4rylqP5aY0ZlAIHlz8tnkJTwjTvftlTpjgFQQ%2BCTKUR%2FDEtfBVnkyC7VKjTohPodSfYEz%2F5pUHe71FYGK%2Fq5UopxBH9OzoN4ysNJeu%2FM5y4UDGeP7k8iovfSppqWuBjRWLMKXr2CuW5%2Bjqef2o%2F6lUamm%2FkpZGHBG7hD9wnHt%2FAD9Mv6yltII8O%2F80XNnFAVZd%2FZ%2B%2FoaRraDBi4LIt6peX4BFIAKoWDHy8SXVe0LXqxQ%2Fs%2BPEMc%3D%7Ctkp%3ABk9SR_z8vI-jYg
DELL OPTIPLEX 9020 SFF INTEL CORE i5-4570S 2.90GHz 16GB RAM 250GB SSD PC449356,US,$55.00,Used,Dell,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,,,,,https://www.ebay.com/itm/155288285292?epid=1850081403&hash=item2427e7306c:g:IPMAAOSwhgtjipii&amdata=enc%3AAQAIAAAAsJORnRXFPLSJgPqbAiWozgnykejZjdkrnOVF%2BwJtrgvEr2TufBcBYFzzSN%2BJ%2FdJZcYL7%2BhyzhtDOJVtEMfuWEFjVNgGIxgFU1CwXIYzHz28BzoNK%2F%2BTFz3Tj20Jl85kk4KF%2BuVeSbT9xoHKuP%2BJKN5BQYBqVFUVoslxdYir1EH6oCk84XzSEsugr%2BYB9YJSrec28ADeuxRBfuCwPfWeZNG9%2BknMFnDg%2FQFogds72vsI6%7Ctkp%3ABk9SR_z8vI-jYg
"Tested LENOVO THINKPAD W550s 15.6"" i7-5500U 16GB RAM 256GB SSD QUADRO K620M çhar",US,$119.00,Used,Intel Core i7 5th Gen.,15.6 in,Black,16 GB,256 GB,NVIDIA QUADRO K620M/INTEL HD GRAPHICS 5500,2.40 GHz,Lenovo,ThinkPad,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad W550s,Windows 11 Pro,256 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/185957209190?hash=item2b4be9d466:g:kvMAAOSwQulkl1Xf&amdata=enc%3AAQAIAAAAsBB0TIhW8IIxMizjEJdcnyxJZuTxlaHlOj5jjUWjuhawHCz%2BXYWAsLyjEKkA0sNECmSIuzWsRXsQ48bPbv9wQlKm6f66L7vnjvko8brwPz6Dv22i23CKr6jUpjfGDH%2F53ki%2Bg%2FOo73pYJYThqKeEBKjKoJcKSfZOgVa2yjSBNVAGKiQUIWBdDdYOwqaF6ISCYuEr6MfJk%2Bq7PPm2Emt7j7RH1gaGUzl1YIm6pf4JNJb6%7Ctkp%3ABk9SR_z8vI-jYg
"Asus q505u notebook pc NO H/D, RAM, ADAPTER, WI FI CARD. Read Description please",US,$15.50,For parts or not working,Intel Core i5 8th Gen.,15.6 in,,,,,,ASUS,,Notebook/Laptop,,asus q505u,,,,,https://www.ebay.com/itm/145156509367?hash=item21cc008eb7:g:BpAAAOSwMLNkmMzE&amdata=enc%3AAQAIAAAAsDAdt9EBw9RLA9dpY9f3%2B%2Fz6sXkV7udsfo2eX7sCGuenol3yyPOrvPUWEOTZ5H0na%2BJzeSS4wKJiUfcHBVjN5HEYnQrVrMrHKJ3uDLh%2F%2FqcdN2IIuvrnEnCLrLmigTU%2BUrIijt2rcUAldph9K41I8TLOT17AqfmlV8HS9jwHutytoq%2FCEKf00vAUVarCWno5lvFbLE9A2wHe0iSFO2HSgNIjHVlFiP20fpPRQzOL8nij%7Ctkp%3ABk9SR_z8vI-jYg
HP ZBOOK 17 G5 | INTEL XEON E-2176M 2.70GHZ | 512GB M.2 | 32GB RAM | NO OS,US,$635.00,Used,Intel Xeon E-2176M,"17.3""",Silver,,,,2.70GHz,HP,,,,ZBook 17 G5,Not Included,,,,https://www.ebay.com/itm/195849249171?hash=item2d99866193:g:REkAAOSwB39knW6o&amdata=enc%3AAQAIAAAAsFitfqFVMyRJ39brI%2Fj8jKX771e%2BGA61sYrqkFAKw%2B1UNrAqEFYmKfY22eU6%2BdtifSRVAphx0GwOIyFqSS9ngi4kxshB8RG7MNKS0RM2JjaGVi5JV3rCwYZ1wVCfxlu8SmmULPJYOZO%2FS4utkqvsp8FPSf2CFcZ5hHVEAzKYhX9tXjQNnmHJGXQoqkc2XqE5PB5kbPvxtC9pyS79IMn%2FSIRNTFD8R9fHFZA9lCd6iCMp%7Ctkp%3ABk9SR_z8vI-jYg
